Date,Open,High,Low,Close,Volume
05/19/2023,"220.15","236.35","214.00","236.20","2,553,168"
05/18/2023,"235.20","236.50","224.00","225.10","361,985"
05/17/2023,"235.05","237.50","232.00","234.20","527,919"
05/16/2023,"234.20","239.85","234.20","236.30","213,390"
05/15/2023,"239.15","241.60","231.40","235.80","742,976"
05/12/2023,"243.00","244.35","238.50","241.10","568,966"
05/11/2023,"238.30","244.95","238.30","242.65","495,163"
05/10/2023,"240.30","240.40","233.25","238.10","340,053"
05/09/2023,"240.10","243.80","238.00","240.15","778,148"
05/08/2023,"244.95","247.75","235.45","238.70","682,652"
05/05/2023,"240.90","243.00","236.50","239.70","1,069,956"
05/04/2023,"230.10","239.80","230.10","238.20","642,818"
05/03/2023,"235.90","245.00","224.20","231.25","1,600,592"
05/02/2023,"231.40","236.05","227.55","235.95","2,221,493"
04/28/2023,"214.50","224.85","214.50","224.85","1,127,655"
04/27/2023,"210.60","216.00","210.45","214.15","885,723"
04/26/2023,"205.65","213.90","203.15","211.05","1,627,792"
04/25/2023,"200.10","210.40","200.10","205.75","1,011,344"
04/24/2023,"198.25","203.20","194.30","201.35","1,163,776"
04/21/2023,"199.70","200.50","193.55","199.25","1,717,365"
04/20/2023,"188.80","196.80","187.00","196.25","2,147,199"
04/19/2023,"187.35","189.20","185.10","187.45","211,136"
04/18/2023,"189.40","191.55","187.20","188.30","174,049"
04/17/2023,"188.30","191.90","188.00","189.35","624,346"
04/13/2023,"192.00","193.50","188.25","189.40","590,612"
04/12/2023,"195.10","197.00","191.60","192.45","537,060"
04/11/2023,"194.05","198.10","193.30","193.90","884,896"
04/10/2023,"193.00","197.50","193.00","194.00","438,023"
04/06/2023,"190.15","197.00","187.30","192.15","1,088,033"
04/05/2023,"190.00","194.00","186.50","190.05","602,303"
04/03/2023,"195.00","195.75","186.35","190.55","1,392,143"
03/31/2023,"189.40","191.60","189.00","191.60","1,414,315"
03/29/2023,"166.25","182.50","166.25","182.50","2,135,874"
03/28/2023,"179.80","182.80","173.85","173.85","1,000,210"
03/27/2023,"195.00","195.50","183.00","183.00","1,621,429"
03/24/2023,"201.30","203.85","192.15","192.60","1,091,108"
03/23/2023,"202.00","211.50","200.20","201.20","1,146,989"
03/22/2023,"202.00","207.70","200.10","203.85","2,001,367"
03/21/2023,"192.20","199.80","186.50","199.80","2,270,145"
03/20/2023,"194.00","196.70","190.00","190.30","2,070,948"
03/17/2023,"203.50","205.00","198.30","199.95","2,013,589"
03/16/2023,"201.00","205.90","194.55","198.75","2,640,194"
03/15/2023,"194.55","214.95","194.55","202.15","7,421,938"
03/14/2023,"217.15","218.00","204.75","204.75","2,358,918"
03/13/2023,"214.75","215.50","210.90","215.50","6,507,718"
03/10/2023,"194.00","205.85","187.25","205.25","5,679,914"
03/09/2023,"196.05","196.05","188.15","196.05","8,826,359"
03/08/2023,"185.95","186.75","175.25","186.75","3,542,913"
03/06/2023,"177.90","177.90","177.90","177.90","1,080,014"
03/03/2023,"169.45","169.45","169.45","169.45","301,874"
03/02/2023,"161.40","161.40","161.40","161.40","552,234"
03/01/2023,"153.75","153.75","152.50","153.75","501,366"
02/28/2023,"137.60","146.45","132.55","146.45","5,195,326"
02/27/2023,"142.50","145.45","139.50","139.50","1,589,510"
02/24/2023,"150.25","156.75","146.80","146.80","2,267,666"
02/23/2023,"156.00","158.75","154.50","154.50","3,387,193"
02/22/2023,"177.95","179.00","162.60","162.60","4,209,275"
02/21/2023,"167.50","171.15","166.30","171.15","1,321,006"
02/20/2023,"159.00","163.00","151.00","163.00","6,682,097"
